Type,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,Control,Control,Control,Control,Control,Control,Control,BreastC,BreastC,HepatocelularC,BreastC,BreastC,ColonC,GallbladderC
Sample_id,KS0001,KS0002,KS0003,KS0004,KS0005,KS0007_scarce,KS0008_scarce,KS0009,KS0010,KS0011,KS0012,KS0013,KS0014,KS0016_Lowqual,KS0017_Lowqual,KS0019,KS0021,KS0022,KS0023,KS0024,KS0025,KS0026,KS0027,KS0028,KS0029
hsa-miR-25-3p,29241,43854,20417,73564,21172,28,275,1704,10069,703,53235,1868,8375,3032,2532,7778,7468,17800,16600,3983,13456,9212,10558,14974,5305
hsa-miR-26a-5p,1632366,3336134,1260699,3370821,874267,3741,16397,404900,543452,24509,817375,14326,596108,76023,94042,567542,545652,1441258,954489,360028,661418,1106897,1155499,590340,357104
hsa-miR-26a-1-3p,329,513,153,495,113,0,1,35,101,8,88,3,113,30,30,108,113,265,105,38,75,137,90,123,39
hsa-miR-26b-5p,36917,60712,30574,78636,39963,285,967,13419,21701,908,81773,1725,26044,3982,4279,19811,26437,56547,56658,12171,38622,40567,43905,37417,20502
hsa-miR-26b-3p,16,18,10,24,4,0,1,7,8,0,8,2,2,0,1,0,0,8,9,1,3,6,4,3,18
hsa-miR-27a-5p,31,96,34,116,46,0,0,9,11,2,37,0,18,0,4,7,8,19,11,3,16,26,39,5,0
hsa-miR-27a-3p,27162,47284,13031,44779,12093,27,87,1535,7971,346,11612,193,5995,2582,1683,7759,7922,34736,6441,3086,7114,10479,9333,4245,3217
hsa-miR-28-5p,8503,15986,5382,12502,4207,67,59,1777,4342,245,6266,115,3252,707,907,5684,4845,4908,5795,1978,1984,4836,3728,2176,1287
hsa-miR-28-3p,33289,61467,12299,61945,9417,90,240,5756,10998,680,14630,182,8353,1987,2587,13023,8222,28560,8643,3389,8950,12487,16879,8042,3736
hsa-miR-29a-5p,3,7,0,0,12,0,0,0,3,1,11,0,1,0,2,2,2,12,2,2,5,2,2,0,0
hsa-miR-29a-3p,24963,67595,29126,71334,40120,36,212,2185,11025,768,24123,775,7841,3707,2116,4810,6035,29113,14686,7067,16833,14517,17641,10677,9239
